Customer Code,DaysPresent,Revenue
CAA0023,4291,5090639.02
CAA0032,4291,2670450.34
CAA0047,4291,1516474.93
CAA0048,4291,8703754.49
CAA0050,4248,2616288.13
CAA0064,3610,116499.21
CAA0075,2444,84923374.55
CAA0076,2434,263261.9
CAA0081,0,0
CAA0082,2121,9299408.45
CAA0084,2033,54489531.74
CAA0088,1826,3517702.5
CAA0089,0,0
CAA0092,1575,0
CAA0094,1463,15831538.8
CAA0096,1395,114392.8
CAA0098,1336,1020730
CAA0099,1297,2612152.83
CAA0100,0,0
CAA0101,0,0
CAA0102,1060,5799990.78
CAA0103,0,0
CAA0104,1025,6271808.82
CAA0105,0,0
CAA0108,995,26263601.41
CAA0109,940,382234.04
CAA0113,0,0
CAA0117,720,9211394.26
CAA0118,0,0
CAA0119,713,10363.88
CAA0122,716,22267139.06
CAA0126,0,0
CAA0129,716,7583322.34
CAA0131,0,0
CAA0134,710,60469.6
CAA0135,710,33488.2
CAA0137,716,689953.82
CAA0144,716,21941575.71
CAA0150,0,0
CAA0154,604,5726312.98
CAA0155,567,11638677.7
CAA0156,525,3595797.37
CAA0158,0,0
CAA0159,470,497781.27
CAA0160,414,2473962.88
CAA0161,0,0
CAA0162,388,1156568.81
CAA0163,0,0
CAA0164,357,6802679.44
CAA0165,0,0
CAA0166,0,0
CAA0167,325,4440679.27
CAA0168,0,0
CAA0169,297,432715.38
CAA0172,262,7332017.78
CAA0173,0,0
CAA0175,206,1335112.56
CAA0176,203,2567295.34
CAA0177,202,1224291.97
CAA0179,146,2455550.82
CAA0180,0,0
CAA0181,121,345771.56
CAB0002,4291,634870350.2
CAB0022,4290,88693789.83
CAB0027,4291,3060055.3
CAB0042,4291,35960561.44
CAB0053,4291,75744753.29
CAB0074,4070,7817245.99
CAB0075,4038,206418193.6
CAB0076,4025,3222146.59
CAB0088,3461,34364802.48
CAB0097,2983,4489517.45
CAB0101,2883,1393339.1
CAB0106,0,0
CAB0113,2249,91925.54
CAB0118,2002,50410957.84
CAB0120,0,0
CAB0123,1848,1462528.81
CAB0124,0,0
CAB0126,1787,7799602.19
CAB0129,1631,1836376.83
CAB0130,1601,354281.36
CAB0131,0,0
CAB0135,0,0
CAB0139,1305,57380631.81
CAB0140,1301,84367639.71
CAB0143,1179,3742286.02
CAB0146,1135,178115.06
CAB0148,1113,62.74
CAB0150,0,0
CAB0152,913,15686455.93
CAB0153,873,3878105.5
CAB0155,815,2026977.5
CAB0157,749,38604.75
CAB0158,727,19811167.24
CAB0160,0,0
CAB0161,716,30583529.29
CAB0164,710,12417.26
CAB0165,716,407508.92
CAB0167,716,1218767.02
CAB0175,0,0
CAB0178,664,19741487.22
CAB0179,625,12234.86
CAB0180,617,887135.12
CAB0181,0,0
CAB0182,0,0
CAB0183,482,366639.1
CAB0184,454,13527041.26
CAB0185,446,2505206.3
CAB0186,421,199195.75
CAB0187,399,148373.26
CAB0189,357,521942.12
CAB0190,307,173956.88
CAB0191,296,4067406.45
CAB0192,292,3600005.36
CAB0193,0,0
CAB0195,261,1163091.58
CAB0196,0,0
CAB0197,208,655190.53
CAB0198,185,853651.44
CAB0199,178,5103762.71
CAB0200,173,1051695.84
CAC0001,4291,1924960.27
CAC0005,4291,2790953.64
CAC0028,4291,3459427.45
CAC0044,2945,794290.6
CAC0045,2658,1877889.06
CAC0059,0,0
CAC0065,0,0
CAC0066,0,0
CAC0067,0,0
CAC0068,730,1837459.02
CAC0070,0,0
CAC0079,709,10134140.93
CAC0089,0,0
CAC0094,533,43769.4
CAC0098,415,5154843.63
CAC0099,406,2170942.37
CAC0100,399,8205.2
CAC0102,0,0
CAC0103,350,3240
CAC0104,0,0
CAC0105,245,12137000.98
CAC0106,240,2220150.48
CAC0107,190,6567895.4
CAD0002,4291,30993609.6
CAD0022,0,0
CAD0264,4291,176513.28
CAD0273,4291,16276311.53
CAD0290,3503,17617036.52
CAD0291,3465,12838715.49
CAD0299,2973,2869792.22
CAD0351,0,0
CAD0357,2709,16935878.31
CAD0358,2709,1530035.32
CAD0359,2709,5215634.07
CAD0361,2709,2967160.54
CAD0362,2695,1598143.87
CAD0367,2536,0
CAD0369,2487,940036.33
